matchOrdinal,matchId,seed,profileId,policy1,policy2,winner,winningSeat,terminationReason,completedFullTurns,policyDecisionCount,policyActionCount,miniTurnActionCount,exhaustedPassActionCount,responseOpportunityCount,responsePlayedCount,responseDeclinedWithOptionsCount,automaticPriorityAdvanceCount,responseWindowClosedCount,privateChoiceDecisionCount,advancedDecisionCount,ultraDecisionCount,voltageDecisionCount,triggerCount,commandCount,eventCount,scoreMargin,matchResultHash
0,M-a5c54bedb1d6ece158bc,1527652420,core-advanced-authority,random-legal,random-legal,P1,1,EXHAUSTED_RESOLUTION,91,251,230,96,0,37,22,21,197,106,20,9,2,4,96,738,1242,10,cae7fb6b3947cd88bba79426a3e2b058f0ec73b824e8d4b423395335ef965c24
1,M-7b5f7e5ec08d50cb3b6f,3591984348,core-advanced-authority,random-legal,score-rush,P2,2,NORMAL_VICTORY,5,18,16,7,0,4,3,2,14,8,0,2,2,0,6,52,87,16,43f1f7e5bf84a79ce4a95d9b0947783f806798551dfd4d0037570edca7053f37
2,M-e4875f3be5bec9be1782,3802291172,core-advanced-authority,random-legal,control,P2,2,NORMAL_VICTORY,43,113,110,48,0,12,15,3,112,57,3,8,3,2,46,370,619,9,85b2a7f6bf32d9c5dab577707decdd9dca596b53905d981c85a583413977fb56
3,M-cf1296dcf54913b1f236,3997723244,core-advanced-authority,random-legal,tempo,P1,1,NORMAL_VICTORY,42,104,97,45,0,14,8,7,89,47,1,5,3,0,43,326,545,16,100352cf6082a25226b333ae48e395fd891ef155e1e6403b6ca35a8eb8ba788c
4,M-6e405bd305ad3a8842b2,3808858681,core-advanced-authority,random-legal,value,P2,2,NORMAL_VICTORY,5,19,16,7,0,6,3,3,14,8,0,1,1,0,6,53,84,26,7196e39207d73fb814cbe3a5375d77a16c9d5ba2eb977e2dd19620cd6ff72582
5,M-6db13647ac8571e244c2,2343558171,core-advanced-authority,random-legal,hybrix-rusher,P2,2,NORMAL_VICTORY,9,29,29,12,0,2,7,0,27,13,0,4,0,4,14,89,147,12,86f55fbd5c788c3fccc4f6134655a9d117993b54730467e63cf1b7b056c2d5ce
6,M-af613f3d635a9a9871dc,854653965,core-advanced-authority,random-legal,hybrix-defender,P2,2,EXHAUSTED_RESOLUTION,51,149,141,59,0,22,22,8,139,72,8,13,4,4,56,464,777,2,073d77acfea35041c0827c212aa0a48282c31a0a1c0f3356e400603e6cfcf965
7,M-2c058833d0cab8a83b36,300779178,core-advanced-authority,random-legal,hybrix-trickster,P2,2,NORMAL_VICTORY,19,50,46,22,0,8,4,4,41,22,0,2,2,0,20,153,253,25,b6b2bd8e859454a744174bc6bcb5296b7271e6a9c7ab9f59cbea1b75d79c97b6
8,M-db1a7c5a8d04a411be38,1133672708,core-advanced-authority,random-legal,hybrix-sniper,P2,2,NORMAL_VICTORY,9,42,32,12,0,14,8,10,18,13,2,6,2,4,14,93,149,21,f3945abe3e18eef4a08ab9bd768b3216cc7f5884a076d17c51cf7a089ae361ce
9,M-fa500a672d37de80d9d3,3641393008,core-advanced-authority,random-legal,hybrix-support,P1,1,NORMAL_VICTORY,22,63,59,25,0,10,6,4,54,27,5,2,2,0,23,190,311,11,6cefedb0e0d6328a1cbbc1d75d760272b643b23e89a5d0ed4803342d9d87a428
10,M-4f83e4902bf5c8b33228,257159754,core-advanced-authority,random-legal,hybrix-tank,P2,2,EXHAUSTED_RESOLUTION,57,155,148,62,2,24,22,7,146,75,6,8,4,0,58,492,829,6,c07566d30c6813a789264382f7c94c4108613c34e01f1d6ffcb8e05a7ddcca27
11,M-3f06d7f4cfd593ad7365,848224607,core-advanced-authority,random-legal,hybrix-baseline,P2,2,NORMAL_VICTORY,13,38,35,16,0,8,5,3,32,17,0,1,1,0,14,115,186,16,267a6700860eb6186898cbae7b10cef9718d6c6b268c9f03ad3a939be63c1348
12,M-767b191b1e8222dcfc0f,2088427968,core-advanced-authority,score-rush,random-legal,P1,1,NORMAL_VICTORY,4,20,13,7,0,8,1,7,3,5,0,1,0,0,5,38,61,13,add0d9f535c975176ac600eebe2c6c80c98ceed11063eec942d51fea0ed404c8
13,M-75a1344380686982f648,1698944196,core-advanced-authority,score-rush,score-rush,P2,2,NORMAL_VICTORY,5,14,14,6,0,2,2,0,14,7,0,2,2,0,6,47,78,8,0e786dcfbefbec97eaa7c38389dd7aa7eb0810f52f15dd555740dc7b212924fe
14,M-356e0c87021b117b89f7,3467342780,core-advanced-authority,score-rush,control,P2,2,NORMAL_VICTORY,3,13,13,8,0,0,1,0,18,9,0,3,2,0,4,48,82,12,65de74a794a1158885340c0383314511fc206aa03abe8af301a2b77d695fed83
15,M-506366a0ae72fba32d23,3034212584,core-advanced-authority,score-rush,tempo,P1,1,NORMAL_VICTORY,8,25,21,9,0,6,3,4,18,11,0,3,2,0,9,72,123,3,8da34079905c084c728bb15c17375b4819c4ea788beaaf1f9f1d37345f112262
16,M-df34d9f1cb8863274609,3621001482,core-advanced-authority,score-rush,value,P2,2,NORMAL_VICTORY,13,34,32,14,0,6,4,2,30,16,0,2,2,0,14,108,179,10,85bf80088229c4ba342ed27cbbf9c3a5c5e48f641ad3d5922d2a17a3d65b7221
17,M-e18eeb49aff85674904b,1560120326,core-advanced-authority,score-rush,hybrix-rusher,P2,2,NORMAL_VICTORY,17,44,42,20,0,4,2,2,37,19,2,3,2,0,18,136,226,16,b67ed3df41ceade175fae97548349cb99a78e7ad579c4c2c4201d6ebcb01b591
18,M-31d6e5a6f7d11b406b12,2770005059,core-advanced-authority,score-rush,hybrix-defender,P1,1,NORMAL_VICTORY,18,49,48,23,0,4,6,1,51,26,0,4,3,0,19,164,276,21,c5642346cb12e4fea74e823758a4807da7cf6b2d14e65038b925a4884ff18875
19,M-db00406242aa588c413d,2583719783,core-advanced-authority,score-rush,hybrix-trickster,P2,2,NORMAL_VICTORY,11,31,30,14,0,5,4,1,30,15,0,2,2,0,12,100,163,14,c09b301472755005a2f8692a4d3e0805b3361471db5f7eb4cd4c85b02b25cc93
