mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
2-black-2-red-draw,participant,200,100,68,0.34,68,'-0.05639740230146972,'-0.20327940497325508,0.09048460037031564,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
2-black-2-red-rummage,participant,200,100,13,0.065,13,0.28814968814968817,0.04806889472236947,0.5282304815770069,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace,participant,200,100,14,0.055,11,'-0.04812834224598933,'-0.35098117671053036,0.2547244922185517,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace-anchor,participant,200,100,7,0.035,7,'-0.07404637247569185,'-0.44744028032151695,0.29934753537013326,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace-base,participant,200,100,29,0.13,26,0.02289017341040467,'-0.18664307086323853,0.23242341768404787,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace-spade,participant,200,100,15,0.075,15,'-0.23059006211180122,'-0.4780001780922991,0.01682005386869667,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
anchor,participant,200,100,70,0.205,41,'-0.0939873417721519,'-0.2658547464692733,0.07788006292496952,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
anchor-private-choice,participant,200,100,14,0.06,12,'-0.04812834224598933,'-0.35098117671053036,0.2547244922185517,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
attachment,participant,200,100,4,0.02,4,0,'-0.49501667631020796,0.49501667631020796,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
board-lock,participant,200,100,32,0.155,31,'-0.3928571428571429,'-0.5458929968738543,'-0.2398212888404315,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
bounce-top,participant,200,100,32,0.105,21,'-0.2780898876404494,'-0.48154001736435226,'-0.07463975791654653,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
clear-er,participant,200,100,3,0.015,3,'-0.5051020408163265,'-0.5750971102071285,'-0.43510697142552446,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
clear-pr,participant,200,100,7,0.035,7,'-0.2221391174270756,'-0.5642249706844011,0.11994673583025,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
