#,Effect ID,Source,Mode,Timing,Raw Primitive Rank,Practical Rank (Written),Practical Rank (Executed),Efficiency Rank,Tier,Points Forgone,Extra Cost,Setup,Counterplay,Reachability,Threat Value,Status,Profile Availability,Confidence
1,A_SPADE_EXILE_COUNTER,"A♠","Exile Counter",Instant,N/A,1,1,6,S+,4,"None","Low (pending effect/counter)","NARROW (⭐A or 3-Red only)",RARE,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
2,EIGHT_SPADE_FREE_SCUTTLE,"8♠ natural","Instant Free Scuttle",Instant,N/A,2,2,1,S+,8,"None","Enemy PR card (non-Aegis, non-immune)","ADEQUATE (8 Scuttle Counter, Aegis)",RARE,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
3,KING_SPADE_INSTANT_MULTI_COUNTER,"K♠ natural","Counter Multi-Play",Instant,N/A,3,3,10,S+,8,"None","Pending multi-card play","ROBUST (Counter-counters, cannot counter Ultras)",RARE,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
4,FOUR_SPADE_TOTAL_CLEAR,"4♠ natural","Total Clear",Action,N/A,4,4,13,S+,4,"None","OTT cards present","ROBUST (Aces)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
5,TWO_SPADE_SOLO_WILD_TOTAL_CLEAR,"2♠","Solo Wild (Total Clear)",Action,N/A,5,5,5,S+,2,"None","OTT cards present","ROBUST (Aces)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
6,A_BASE_COUNTER,"A♣ / A♦ / A♥","Base Counter",Instant,N/A,6,6,16,S,4,"None","Low (pending effect/counter)","ROBUST (Ace-family, 3-Red)",COMMON,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
7,BLACK_JOKER_BOARD_LOCK,"Black Joker","Quick Board Lock",Quick,N/A,7,7,8,S,11,"AS-EXECUTED: 11-pt scoring blocked by IMPL-01","Empty stack and queue","NARROW (⭐A, 3-Red only)",RARE,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
8,EIGHT_QUICK_AEGIS_FIELD,"Any Eight","Quick Aegis Field",Quick,N/A,8,8,18,S,8,"None","Friendly OTT cards","NARROW (Cannot be countered by Base Ace)",COMMON,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
9,TEN_HEART_TEMPO_SPIKE,"10♥ natural","Tempo Spike",Action,N/A,9,9,22,S,10,"10♥ exiled","Action phase","NARROW (⭐A, 3-Red only via IMPL-12)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
10,KING_SPADE_WILD_TOTAL_CLEAR,"K♠ natural","Wild Sovereignty (Total Clear)",Action,N/A,10,10,45,S,8,"+1 discard, K♠ exiled",">=1 other hand card, OTT cards present","ROBUST (Aces)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
11,QUEEN_ER_GUARD_ANCHOR,"Any Queen","ER Anchor (Guard)",Action,N/A,11,11,17,S,2,"None","Action phase","ADEQUATE (Clears, ⭐2, J♠, Kings on entry)",COMMON,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
12,ULTRA_2B2R_DRAW,"2 Black + 2 Red cards","2B+2R Draw",Action,N/A,12,12,40,S,14,"4 cards committed","2 Black + 2 Red in hand","NARROW (⭐A, 3-Red only)",COMMON,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
13,JACK_INSTANT_DISRUPT,"Any Jack","Instant Disrupt",Instant,N/A,13,13,2,S,3,"None","Opponent Action declaration","ROBUST (Aces)",COMMON,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
14,ULTRA_THREE_RED_COUNTER,"3 Red cards (♦/♥)","3 Red Ultra Counter",Instant,N/A,14,14,47,S,10,"3 cards committed","3 red cards in hand, pending play","NARROW (Blocked by Two-Queen Defense)",COMMON,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
15,TEN_CLUB_FOUNDATION,"10♣ natural","Foundation Entry & Bonus Score",Action,N/A,15,15,15,S,10,"None","Best at 0 PR points","NARROW (⭐A, 3-Red only via IMPL-12)",RARE,HIGH,CONFLICT,core-advanced-and-unrestricted,VERY_HIGH
16,QUEEN_COURT,"2 Queens from hand","Queen's Court",Action,N/A,16,16,35,A+,4,"2 Queens committed","2 Queens in hand","NARROW (K♠ only standard counter)",RARE,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
17,SEVEN_SCORING_TRIGGER,"Any Seven scored","Scoring Trigger",Trigger,N/A,17,N/A,3,A+,0,"None","Seven scored for Points","NARROW (Triggers don't use effect counters)",COMMON,MODERATE,NOT_IMPLEMENTED,written-only,LOW
18,SIX_SPADE_DEEP_DRAW,"6♠ natural","Deep Draw",Action,N/A,18,17,42,A+,6,"None",">=1 other hand card","ROBUST (Aces)",RARE,LOW,MATCH,core-advanced-and-unrestricted,VERY_HIGH
19,TEN_DIAMOND_SOLO_MIMIC_ROW_EXCHANGE_PR,"10♦ natural","Solo Mimic ⭐4 PR",Action,N/A,19,18,39,A+,10,"10♦ Exile-Bound","PR rows present","NARROW (⭐A, 3-Red only via IMPL-12)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,HIGH
20,A_SUPER_COUNTER,"⭐A (2 Aces)","Super Counter",Instant,N/A,20,19,65,A+,8,"2 Aces committed","2 Aces in hand, pending play, <2 enemy Queens","NARROW (Blocked by Two-Queen Defense)",RARE,VERY_HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
21,QUEEN_QUICK_AEGIS,"Any Queen","Quick Aegis",Quick,N/A,21,20,11,A+,2,"None","Friendly OTT card","NARROW (Cannot be countered by Base Ace)",COMMON,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
22,ROYAL_MARRIAGE,"Same-suit King + Queen","Royal Marriage",Action,N/A,22,21,48,A+,10,"Same-suit K+Q committed","Same-suit K + Q in hand","NARROW (K♠ only standard counter)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
23,TWO_QUICK_SCORE_DISCARD,"Any Two","Quick Score & Discard",Quick,N/A,23,N/A,4,A+,0,"None","Own Full Turn","ROBUST (Aces counter effect)",COMMON,MODERATE,NOT_IMPLEMENTED,written-only,LOW
24,FOUR_BASE_ROW_CLEAR_PR,"Any Four","Row Clear PR",Action,N/A,24,22,27,A+,4,"None","Enemy PR cards present","ROBUST (Aces, Aegis)",COMMON,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
25,JACK_SPADE_ER_ATTACHMENT,"J♠ natural","ER Attachment",Action,N/A,25,23,23,A+,3,"None","Enemy ER Anchor","ROBUST (Aces, Aegis, Severance)",RARE,HIGH,MATCH,core-advanced-and-unrestricted,VERY_HIGH
