code,filename,source
as,as.png,/mnt/data/mystic_amethyst_spade_reliquary.png
2s,2s.png,/mnt/data/gothic_spade_scepters_in_a_celestial_halo.png
3s,3s.png,/mnt/data/gothic_tarot_ritual_of_three_crowns.png
4s,4s.png,/mnt/data/gothic_spade_fortress_in_purple_glow.png
5s,5s.png,/mnt/data/shattered_arcane_spade_altar.png
6s,6s.png,/mnt/data/mystical_spade_cathedral_emblem.png
7s,7s.png,/mnt/data/gothic_spade_portal_of_starlight.png
8s,8s.png,/mnt/data/arcane_spade_clockwork_mandala.png
9s,9s.png,/mnt/data/ghostwriter_images/generated/a_highly_detailed_fantasy_symbolic_illustration_in_7_batch_7.png
10s,10s.png,/mnt/data/ghostwriter_images/generated/a_highly_detailed_fantasy_symbolic_illustration_o_3_batch_1.png
js,js.png,/mnt/data/ghostwriter_images/generated/a_highly_detailed_fantasy_portrait_scene_a_dark_4_batch_2.png
qs,qs.png,/mnt/data/queen_of_the_cosmic_spade.png
ks,ks.png,/mnt/data/dark_fantasy_king_with_purple_gemstone_sword.png
ah,ah.png,/mnt/data/crimson_sacred_heart_reliquary.png
2h,2h.png,/mnt/data/ghostwriter_images/generated/a_highly_detailed_symmetrical_fantasy_illustratio_1_batch_1.png
3h,3h.png,/mnt/data/gothic_three_heart_arcane_altar.png
4h,4h.png,/mnt/data/gothic_heart_altar_shrine.png
5h,5h.png,/mnt/data/shattered_heart_arcane_altar.png
6h,6h.png,/mnt/data/gothic_shrine_of_ruby_heart_lanterns.png
7h,7h.png,/mnt/data/crimson_heart_arcane_shrine.png
8h,8h.png,/mnt/data/crimson_heart_mandala_of_arcane_radiance.png
9h,9h.png,/mnt/data/crimson_heart_throne_shrine.png
10h,10h.png,/mnt/data/ruby_heart_cathedral_altar.png
jh,jh.png,/mnt/data/baroque_crimson_heart_knight.png
qh,qh.png,/mnt/data/regal_queen_of_hearts_fantasy_portrait.png
kh,kh.png,/mnt/data/crimson_heart_king_in_a_golden_cathedral.png
ad,ad.png,/mnt/data/radiant_crystal_temple_shrine.png
2d,2d.png,/mnt/data/twin_crystal_altars_in_a_celestial_temple.png
3d,3d.png,/mnt/data/celestial_crystal_observatory.png
4d,4d.png,/mnt/data/celestial_crystal_temple_of_light.png
5d,5d.png,/mnt/data/radiant_shattered_crystal_astrolabe.png
6d,6d.png,/mnt/data/golden_crystal_cathedral_altar.png
7d,7d.png,/mnt/data/celestial_crystal_cathedral_in_the_clouds.png
8d,8d.png,/mnt/data/celestial_crystal_clockwork_mandala.png
9d,9d.png,/mnt/data/celestial_crystal_cathedral_altar.png
10d,10d.png,/mnt/data/luminous_crystal_cathedral_mandala.png
jd,jd.png,/mnt/data/radiant_crystal_paladin_of_the_golden_cathedral.png
qd,qd.png,/mnt/data/celestial_crystal_queen_s_divine_observatory.png
kd,kd.png,/mnt/data/ghostwriter_images/generated/a_highly_detailed_fantasy_epic_portrait_scene_a_r_8_batch_6.png
ac,ac.png,/mnt/data/enchanted_trefoil_forest_shrine.png
2c,2c.png,/mnt/data/mystic_twin_totems_in_the_ancient_grove.png
3c,3c.png,/mnt/data/druidic_altar_in_the_enchanted_forest.png
4c,4c.png,/mnt/data/enchanted_forest_temple_of_living_roots.png
5c,5c.png,/mnt/data/emerald_rift_and_the_five_ancient_pillars.png
6c,6c.png,/mnt/data/enchanted_forest_ritual_path.png
7c,7c.png,/mnt/data/ghostwriter_images/generated/a_dark_fantasy_atmospheric_forest_temple_scene_ov_6_batch_6.png
8c,8c.png,/mnt/data/emerald_thornwood_wolf_shrine.png
9c,9c.png,/mnt/data/enchanted_forest_shrine_of_nine_seals.png
10c,10c.png,/mnt/data/enchanted_thorn_cathedral_nexus.png
jc,jc.png,/mnt/data/trefoil_guardian_of_the_enchanted_forest.png
qc,qc.png,/mnt/data/mystical_queen_of_the_green_throne.png
kc,kc.png,/mnt/data/forest_king_on_the_thorned_throne.png
joker1,joker1.png,/mnt/data/arcane_harlequin_of_the_golden_mandala.png
joker2,joker2.png,/mnt/data/mystical_jester_beneath_the_golden_halo.png
