matchOrdinal,matchId,seed,profileId,policy1,policy2,winner,winningSeat,terminationReason,completedFullTurns,policyDecisionCount,policyActionCount,miniTurnActionCount,exhaustedPassActionCount,responseOpportunityCount,responsePlayedCount,responseDeclinedWithOptionsCount,automaticPriorityAdvanceCount,responseWindowClosedCount,privateChoiceDecisionCount,advancedDecisionCount,ultraDecisionCount,voltageDecisionCount,triggerCount,commandCount,eventCount,scoreMargin,matchResultHash
0,M-8f5ba7a1426637e83d01,1656015711,core-advanced-authority,random-legal,random-legal,P2,2,NORMAL_VICTORY,9,30,27,12,0,5,3,3,19,11,2,2,1,1,11,80,132,13,33956a0c6f046ff11e79ab901c936aecb187d57442340b65421c7c8f3959c8b4
1,M-eec6e8dbac8062940f40,1024163359,core-advanced-authority,random-legal,score-rush,P2,2,NORMAL_VICTORY,9,24,24,12,0,2,2,0,22,11,0,2,2,0,10,77,126,16,793383e06170f74cb926197cedf2b55e22832eeb3255e581316ef3df32aad32e
2,M-eb968361e3bdc82164ce,972389269,core-advanced-authority,random-legal,control,P1,1,NORMAL_VICTORY,30,92,91,35,0,12,21,1,90,45,4,8,0,6,37,289,473,27,997516853ddc0a40de07b39995555ab203c87ff7362345a03c9dd0964eeaf914
3,M-d854e1ad2e3c98faee9f,2040173800,core-advanced-authority,random-legal,tempo,P2,2,NORMAL_VICTORY,19,51,51,22,0,8,9,0,52,26,0,2,2,0,20,169,276,24,ac23b849a4aad81dabb197a5575dc2daba3f18ee03aaac904e2290e204ab67bf
4,M-bf73664f5127cc77a797,1391799938,core-advanced-authority,random-legal,value,P2,2,NORMAL_VICTORY,5,19,19,12,0,1,1,0,20,10,0,3,2,0,6,61,101,8,195cf315879562ffa5e5ad4941f13cd93c1b611d5f6078e1dc9103cf2b7fd9d1
5,M-116e5b92d1902f724f70,1061600419,core-advanced-authority,random-legal,hybrix-rusher,P2,2,NORMAL_VICTORY,13,40,38,16,0,8,7,2,39,20,1,0,0,0,14,127,208,13,6ae72a61c3731bd36c362c366db2e22645e3015e2e4e911f505b79554391ee40
6,M-c37124f0bd32b32d2f71,4096972844,core-advanced-authority,random-legal,hybrix-defender,P2,2,EXHAUSTED_RESOLUTION,65,169,166,72,2,12,20,3,158,80,8,16,2,8,74,539,915,9,6cd4935fab29e47f0a2abd9324515ed86990606de077220fcf8d0f4ce18c6a12
7,M-afdcc6f2781ba6f857b7,162105069,core-advanced-authority,random-legal,hybrix-trickster,P2,2,NORMAL_VICTORY,5,21,19,8,0,7,5,2,19,10,0,2,1,0,6,62,97,27,2dadc587e0ca9022e58e34a289db40d7dfc80c674a9e9b8fa5ec88f9b3648549
8,M-690e14c1ad1c3c20a4fe,4148524816,core-advanced-authority,random-legal,hybrix-sniper,P2,2,NORMAL_VICTORY,27,73,69,30,0,12,9,4,67,35,2,3,2,1,29,231,383,22,d17a42c6cfcdfa41747303d2dc0a69401271b14618310fa6ee02394b08a3ca9b
9,M-8f654e4c1d345533ccbf,1132310334,core-advanced-authority,random-legal,hybrix-support,P1,1,EXHAUSTED_RESOLUTION,59,143,141,64,1,14,15,2,146,74,2,4,1,1,61,483,813,6,c4a94e0456c8ca43c2afe8fb8fec24c1f04320de29d390657f8e8a7b96cd8b9e
