mechanic,usageUnit,analysisUnitOpportunityCount,matchOpportunityCount,selectionCount,usageRate,sampleSize,outcomeAssociation,ciLow,ciHigh,evidenceGrade,status,formulaHash
2-black-2-red-draw,participant,200,100,62,0.31,62,'-0.10710382513661204,'-0.2570476995989822,0.04284004932575816,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
2-black-2-red-rummage,participant,200,100,11,0.055,11,'-0.048157248157248145,'-0.351101723205569,0.2547872268910727,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace,participant,200,100,14,0.065,13,'-0.28835645229087853,'-0.5285548598971763,'-0.04815804468458068,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace-anchor,participant,200,100,13,0.065,13,0.04119377889869691,'-0.2393143679658435,0.3217019257632373,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace-base,participant,200,100,29,0.13,26,0.11461988304093568,'-0.09150961733268384,0.32074938341455517,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
ace-spade,participant,200,100,14,0.07,14,0.1538461538461539,'-0.1074426998279418,0.4151350075202496,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
anchor,participant,200,100,79,0.215,43,'-0.26215578284815105,'-0.42189898816853855,'-0.10241257752776356,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
anchor-private-choice,participant,200,100,6,0.03,6,0.10261780104712037,'-0.332603950508788,0.5378395526030287,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
board-lock,participant,200,100,25,0.125,25,'-0.024629303845187245,'-0.24194729861011155,0.19268869091973706,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
bounce-top,participant,200,100,31,0.13,26,'-0.09496124031007752,'-0.3058739208301531,0.11595144020999801,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
clear-er,participant,200,100,5,0.025,5,'-0.10261780104712037,'-0.5378395526030287,0.332603950508788,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
clear-pr,participant,200,100,6,0.03,6,'-0.10261780104712037,'-0.5378395526030287,0.332603950508788,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
club-foundation,participant,200,100,39,0.175,35,0.17792302106027602,'-0.00014489249476842825,0.3559909346153205,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
club-foundation-bonus,participant,200,100,14,0.07,14,0.04119377889869691,'-0.2393143679658435,0.3217019257632373,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
counter,participant,200,100,80,0.325,65,0.18873375060182956,0.042026902074121575,0.33544059912953755,INSUFFICIENT,measured,6737c3e7f6336d0adce20989d17bb6f271655f2f7ee337c42125d60077cb6f5a
